,brewery_name,brewery_url,brewery_phone,brewery_coordinates,list_order
89,Hold Out Brewing,http://www.holdoutbrewing.com/,,"-97.75894459999999,30.27138639999999",
90,Holler Brewing,http://hollerbeer.com/,3126785165,"-95.38085389999999,29.7711452",
91,Hop and Sting Brewing Company,http://www.hopandsting.com/,,"-97.07484529999999,32.9326086",
92,HopFusion Ale Works,http://www.hopfusionaleworks.com/,682-841-1721,"-97.3246956,32.7415838,-97.3246956,32.7415838,-97.3246956,32.7415838",
93,Hopsquad Brewing Company,http://hopsquad.com/,,"-97.71442069999999,30.391095",
94,Hound Song Brewing Co.,https://houndsongbrewing.com/,,"-96.5416053,29.7061994",
95,Humble Pint Brewing Co.,,(512)337-5007,"-97.7284521,30.4982074",
96,Infamous Brewing Company,http://www.infamousbrewing.com/,,"-97.9259846,30.40683499999999",
97,Ingenious Brewing Company,http://www.ingeniousbeer.com/,,"-95.2639138,29.9747481",
98,Intrinsic Brewing,http://intrinsicbrewing.com/,,"-96.63706850000001,32.9136162",
99,Iron Bridge Ice House,http://www.ironbridgeicehouse.com/,,"-97.32104679999999,30.1098058",
100,Iron Gauntlet Brauhaus,http://www.irongauntlet.beer/,,"-97.7440893,31.1027589",
101,Ivanhoe Ale Works,http://ivanhoealeworks.com/,9034640030,"-96.5378331,33.7550725",
102,Jester King Brewery,http://jesterkingbrewery.com/,,"-97.9990985,30.2306803",
103,Künstler Brewing,http://kuenstlerbrewing.com/,,"-98.50006839999999,29.40485529999999",
104,Krootz Brewing Company,http://www.krootzbrewingcompany.com/,2146635715,"-97.1476327,33.6252022",
105,La Grange Brewing Company,https://lagrangebrewingco.com/,,"-96.8392064,30.0087951",
106,LAKE HOUSTON BREWERY,http://www.lakehoustonbrew.com/,281-798-0458,"-95.1179239,30.0167872",
107,LAKEWOOD BREWING COMPANY,http://www.lakewoodbrewing.com/,2149269967,"-96.68089529999999,32.8899554",
108,Last Stand Brewing Company - Pauls Valley,http://www.laststandbrewing.com/,,"-98.0105991,30.2358876,-97.7814034,30.182919",
109,Lazarus Brewing Co.,http://lazarusbrewing.com/,,"-97.722003,30.2617258",
110,Lazy Beach Brewing,http://lazybeachbrewing.com/,,"-97.372469,27.653574",
111,Legal Draft Beer Co.,,,"-97.1025464,32.7381854",
112,Live Oak Brewing Company,http://www.liveoakbrewing.com/,,"-97.6609995,30.2209361",
113,Local Group Brewing,,,"-95.3537801,29.7745318",
114,Location Six Brewing Company,http://locationsix.com/,(713)504-0226,"-95.92549249999999,30.0570301",
115,Lone Pint Brewery,http://www.lonepint.com/,713.304.5069,"-95.75133559999999,30.2089736",
116,"Longtab Brewing Company, LLC",http://longtabbrewing.com/,,"-98.5953035,29.4784564",
117,Mad Pecker Brewing Co.,http://www.madpeckerbrewing.com/,,"-98.666032,29.4895964",
118,Martin House Brewing Company,http://martinhousebrewing.com/,8172220177,"-97.3096379,32.7635608",
119,Meanwhile Brewing Company,https://www.meanwhilebeer.com/,5016907361,"-97.7296677,30.2086998",
120,Neutral Ground Brewing Company,http://ngbc.beer/,,"-97.30413449999999,32.7734205",
121,New Magnolia Brewing Co,,832 804 6846,"-95.4219792,29.8002835",
122,No Label Brewing Co,http://nolabelbrew.com/,,"-95.8141855,29.7865547",
123,Nocona Beer & Brewery,http://noconabeer.com/,,"-96.6041635,33.6688444",
124,Nomadic Beerworks,http://www.nomadicbeerworks.com/,8585316514,"-97.76055769999999,30.2244374",
125,Nueces Brewing Company,http://www.nuecesbrewing.com/,,"-97.2252585,27.5943587",
126,ODD Muse Brewing Company,http://oddmusebrewing.com/,9403950802,"-96.83297890000001,32.9392624",
127,Oddwood Ales,http://www.oddwoodales.com/,,"-97.7053361,30.2868725",
128,Oil Horse Brewing Company,http://www.oilhorsebrewing.com/,903-241-4686,"-94.7403386,32.4954697",
129,Old 290 Brewery,http://www.cartercreek.com/,8302251174,"-98.4721204,30.2628979",
130,On Rotation,http://on-rotation.com/,(214) 287-7366,"-96.84097100000001,32.8486248",
131,ONeil and Sons Brewing Company,http://www.oneilandsons.com/,3616760308,"-96.62295999999999,28.6155805",
132,Oskar Blues,https://www.oskarblues.com/location/austin-tx-oskar-blues-taproom/,,"-97.7142182,30.383536",
133,Outfit Brewing,http://www.outfitbrewing.com/,,"-96.86992579999999,32.815764",
134,Panther Island Brewing,http://pantherislandbrewing.com/,,"-97.3380267,32.7636985",
135,Pecan Street Brewing,http://pecanstreetbrewing.com/,,"-98.41198109999999,30.2767408",
136,Pegasus City Brewery,https://www.pegasuscitybrewery.com/,2145321670,"-96.83388819999999,32.7993278,-96.798136,32.77986509999999",
137,Peticolas Brewing Company,http://peticolasbrewing.com/,,"-96.829115,32.7966264",
138,Pint & Plow Brewing Company,http://www.pintandplow.com/,,"-99.14098870000001,30.0494117",
139,Pinthouse Pizza Burnet,http://pinthousepizza.com/,,"-97.7389967,30.3186897,-97.7958819,30.2360918,-97.7424341,30.2154296,-97.69402559999999,30.5394786",
140,Pondaseta Brewing Co.,http://www.pondaseta.com/,806-382-0634,"-101.923133,35.162073",
141,Rahr & Sons Brewing Company,http://www.rahrbrewing.com/,8176026366,"-97.3269313,32.7370225",
142,Ranger Creek Distilling,http://www.drinkrangercreek.com/,2105636976,"-98.39705049999999,29.5293802",
143,Real Ale Brewing Company,http://realalebrewing.com/,,"-98.4126826,30.1137178",
144,Rebel Toad Brewing Co.,http://www.rebeltoadbrewing.com/,,"-97.39525959999999,27.7942755",
145,Reck 'Em Right Brewing Company,,,"-98.41114069999999,30.2762112",
146,Red Horn Coffee House and Brewing Co.,http://www.redhornbrew.com/,(512) 986-7038,"-97.7810305,30.5336752,-97.8166605,30.5507717",
147,Roadmap Brewing Co.,,,"-98.48231729999999,29.43191179999999",
148,"Rough Diamond Brewery, LLC",http://www.roughdiamondbrewery.com/,,"-98.433357,29.966377",
149,"Roughhouse Brewing, LLC",http://www.roughhousebrewing.com/,,"-98.0602268,29.9351512",
150,Rusty Gate Brewery/ Rusty Gate Brewing Co.,http://www.rustygatebrewery.com/,,"-95.34528809999999,30.92228639999999",
151,Saint Arnold Brewing Company,http://www.saintarnold.com/,,"-95.3484093,29.7710325",
152,"San Gabriel River Brewery, Inc",http://www.sangabrielriverbrewery.com/,,"-97.9015661,30.7130434",
153,Savage Brew Lab,http://www.savagebrewlab.com/,512-680-5117,"-96.37509229999999,30.6665105",
154,Second Pitch Beer Company,http://www.brewmonkeybeerco.com/,,"-98.46228959999999,29.5476909",
155,Siren Rock Brewing Company,http://www.sirenrock.com/,9725228843,"-96.4610058,32.928867,-96.4610058,32.928867,-96.4610058,32.928867,-96.4610058,32.928867",
156,Soul Fire Brewing Co.,http://www.soulfirebrewing.com/,469-766-0775,"-97.2279969,33.0000999,-97.2281654,33.0000026",
157,Southerleigh Fine Food and Brewery,http://www.southerleigh.com/,,"-98.48120259999999,29.4427828",
158,Southern Heights Brewing Co,http://www.southernheightsbrewing.com/,5127407424,"-97.66947789999999,30.2767076",
159,Southern Roots Brewing,,,"-97.1358115,31.5559198",
160,Spindletap Brewery,http://www.spindletap.com/,9792242892,"-95.3142939,29.8682093",
161,St. Elmo Brewing Company,http://stelmobrewing.com/,,"-97.76221319999999,30.215782",
162,Steam Theory Brewing Company,http://www.steamtheorybrewing.com/,,"-96.8299915,32.7782641",
163,Stesti Brewing,,,"-95.5625297,31.0821816",
164,SUDS MONKEY BREWING,http://www.sudsmonkeybrew.com/,5127865658,"-97.97478350000002,30.2088635",
165,Tall City Brewing Co.,http://www.tallcitybrewing.com/,,"-102.1214306,32.0046943",
166,Texas Ale Project,https://www.texasaleproject.com/,214-965-0606,"-96.81829069999999,32.7860628",
167,Texas Beer Company,http://texasbeerco.com/,,"-97.40967479999999,30.5688942",
168,Texas Cannon Brewing Company,http://www.texascannonbrewing.com/,,"-98.4205343,30.0973088",
169,Texas Leaguer Brewing,http://txleaguer.com/,832-895-9000,"-95.54800999999999,29.62728299999999,-95.54800999999999,29.62728299999999,-95.5480086,29.6275121",
170,The ABGB,http://theabgb.com/,,"-97.7688783,30.2451775",
171,The Brewery LBK,http://thebrewerylbk.com/,9283082509,"-101.8482368,33.5848473",
172,The Brewtorium,http://www.thebrewtorium.com/,,"-97.7167211,30.3259614",
173,Toppled Turtle Brewing Company,,,"-101.9730285,35.8589399",
174,Trinity Forest Brewing Company,http://www.trinityforestbrewco.com/,,"-96.810712,32.8077258",
175,True Anomaly Brewing Company,http://trueanomalybrewing.com/,,"-95.35713539999999,29.7497303",
176,True Vine Brewing Company,,,"-95.3301692,32.3280822",
177,TUPPS Brewery,http://www.tuppsbrewery.com/,12147045039,"-96.6101274,33.1837643",
178,Twin Peaks Brewing Company,,,"-96.9676805,32.9186551",
179,Two Docs Brewing Co.,http://www.twodocsbrewing.com/,7606379732,"-101.8460286,33.5909454,-101.8551665,33.5778631",
180,Urban South Brewery,http://www.urbansouthbrewery.com/,,"-95.386348,29.7705786",
181,Vacancy Brewing,http://vacancybrewing.com/,5122849083,"-97.76246789999999,30.2144228,-97.76246789999999,30.2144228",
182,Vallensons Brewing Company,http://www.vallensons.com/,,"-95.2871795,29.5756722",
183,Vector Brewing,http://vectorbrewing.com/,4692269886,"-96.715786,32.8782223",
184,Vista Brewing,http://www.vistabrewingtx.com/,512-766-5685,"-98.01947140000001,30.1043968,-97.9389417,30.308083,-98.513363,29.4259666",
185,Walking Beam Brewing Co,http://www.walkingbeambrewing.com/,,"-97.75716179999999,33.2105945",
186,Weathered Souls Brewing Company,http://weatheredsouls.beer/,,"-98.3975644,29.4876923",
187,Westlake Brewing Company,http://www.westlakebeer.com/,(877)994-2337,"-96.78235529999999,32.7830655",
188,White Rock Alehouse & Brewery,http://www.whiterockalehouse.com/,,"-96.72991479999999,32.8128156",
189,Whitestone Brewery,http://www.whitestonebrewery.com/,,"-97.8248977,30.52331259999999",
190,Whole Foods Market Brewing Company,http://wholefoodsbrewingco.com/,5633805538,"-95.46251559999999,29.7498983",
191,Wichita Falls Brewing Company,http://wichitafallsbrewing.com/,,"-98.4913424,33.9135518",
192,Wild Acre Brewing Company,http://www.wildacrebrewing.com/,,"-97.30811969999999,32.744526,-97.4257657,32.7232801",
193,Wild Bunch Brewing Company,,,"-97.445408,29.8694317",
194,Willard’s Brewery,http://www.willardsbrewery.com/,512-354-0750,"-97.6284098,30.4020944",
195,Windmills Brewing Co,http://windmillscraftworks.com/,,"-96.86227079999999,33.07645480000001",
196,Zilker Brewing Company,http://www.zilkerbeer.com/,,"-97.7245698,30.2620446",
